city;county;code;region;capital
Адыгейск;(региональное);01;Адыгея Республика;-
Майкоп;(региональное);01;Адыгея Республика;региона
Агидель;(региональное);02;Башкортостан Республика;-
Баймак;Баймакский Район;02;Башкортостан Республика;района
Белебей;Белебеевский Район;02;Башкортостан Республика;района
Белорецк;Белорецкий Район;02;Башкортостан Республика;района
Бирск;Бирский Район;02;Башкортостан Республика;района
Благовещенск;Благовещенский Район;02;Башкортостан Республика;района
Давлеканово;Давлекановский Район;02;Башкортостан Республика;района
Дюртюли;Дюртюлинский Район;02;Башкортостан Республика;района
Ишимбай;Ишимбайский Район;02;Башкортостан Республика;района
Кумертау;(региональное);02;Башкортостан Республика;-
Межгорье;(региональное);02;Башкортостан Республика;-
Мелеуз;Мелеузовский Район;02;Башкортостан Республика;района
Нефтекамск;(региональное);02;Башкортостан Республика;-
Октябрьский;(региональное);02;Башкортостан Республика;-
Салават;(региональное);02;Башкортостан Республика;-
Сибай;(региональное);02;Башкортостан Республика;-
Стерлитамак;(региональное);02;Башкортостан Республика;района
Туймазы;Туймазинский Район;02;Башкортостан Республика;района
Уфа;(региональное);02;Башкортостан Республика;района и региона
Учалы;Учалинский Район;02;Башкортостан Республика;района
Янаул;Янаульский Район;02;Башкортостан Республика;района
Бабушкин;Кабанский Район;03;Бурятия Республика;-
Гусиноозерск;Селенгинский Район;03;Бурятия Республика;района
Закаменск;Закаменский Район;03;Бурятия Республика;района
Кяхта;Кяхтинский Район;03;Бурятия Республика;района
Северобайкальск;(региональное);03;Бурятия Республика;-
Улан-Удэ;(региональное);03;Бурятия Республика;региона
Горно-Алтайск;(региональное);04;Алтай Республика;региона
Буйнакск;(региональное);05;Дагестан Республика;-
Дагестанские Огни;(региональное);05;Дагестан Республика;-
Дербент;(региональное);05;Дагестан Республика;-
Избербаш;(региональное);05;Дагестан Республика;-
Каспийск;(региональное);05;Дагестан Республика;-
Кизилюрт;(региональное);05;Дагестан Республика;-
Кизляр;(региональное);05;Дагестан Республика;-
Махачкала;(региональное);05;Дагестан Республика;региона
Хасавюрт;(региональное);05;Дагестан Республика;-
Южно-Сухокумск;(региональное);05;Дагестан Республика;-
Карабулак;(региональное);06;Ингушетия Республика;-
Магас;(региональное);06;Ингушетия Республика;региона
Малгобек;(региональное);06;Ингушетия Республика;-
Назрань;(региональное);06;Ингушетия Республика;-
Баксан;(региональное);07;Кабардино-Балкарская Республика;района
Майский;Майский Район;07;Кабардино-Балкарская Республика;района
Нальчик;(региональное);07;Кабардино-Балкарская Республика;региона
Нарткала;Урванский Район;07;Кабардино-Балкарская Республика;района
Прохладный;(региональное);07;Кабардино-Балкарская Республика;-
Терек;Терский Район;07;Кабардино-Балкарская Республика;района
Тырныауз;Эльбрусский Район;07;Кабардино-Балкарская Республика;района
Чегем;Чегемский Район;07;Кабардино-Балкарская Республика;района
Городовиковск;Городовиковский Район;08;Калмыкия Республика;района
Лагань;Лаганский Район;08;Калмыкия Республика;района
Элиста;(региональное);08;Калмыкия Республика;региона
Карачаевск;(региональное);09;Карачаево-Черкесская Республика;-
